iter	Passed	Remaining
881	6381	8089
882	6388	8081
883	6394	8072
884	6400	8063
885	6406	8054
886	6412	8045
887	6418	8037
888	6424	8028
889	6431	8020
890	6437	8012
891	6443	8004
892	6450	7995
893	6456	7987
894	6462	7978
895	6468	7970
896	6474	7961
897	6481	7953
898	6487	7945
899	6493	7936
900	6499	7927
901	6505	7918
902	6511	7910
903	6517	7901
904	6523	7892
905	6528	7883
906	6534	7874
907	6541	7866
908	6547	7858
909	6553	7849
910	6559	7841
911	6566	7833
912	6573	7826
913	6579	7818
914	6588	7812
915	6595	7805
916	6603	7799
917	6610	7791
918	6617	7783
919	6623	7775
920	6629	7766
921	6635	7758
922	6642	7750
923	6648	7742
924	6654	7733
925	6660	7725
926	6666	7716
927	6672	7708
928	6678	7699
929	6684	7691
930	6691	7683
931	6697	7674
932	6704	7667
933	6710	7659
934	6716	7650
935	6722	7642
936	6729	7634
937	6735	7626
938	6742	7618
939	6749	7611
940	6755	7602
941	6761	7593
942	6767	7585
943	6773	7577
944	6779	7568
945	6785	7560
946	6792	7553
947	6799	7545
948	6805	7536
949	6811	7528
950	6817	7520
951	6824	7512
952	6829	7503
953	6836	7495
954	6842	7487
955	6848	7479
956	6855	7471
957	6861	7462
958	6867	7454
959	6873	7446
960	6880	7438
961	6886	7430
962	6892	7421
963	6898	7414
964	6905	7405
965	6910	7397
966	6917	7389
967	6923	7381
968	6929	7373
969	6935	7364
970	6941	7356
971	6948	7349
972	6954	7340
973	6960	7332
974	6966	7323
975	6972	7315
976	6978	7306
977	6984	7298
978	6990	7290
979	6996	7282
980	7002	7274
981	7010	7267
982	7017	7259
983	7024	7252
984	7031	7245
985	7040	7239
986	7049	7235
987	7058	7229
988	7067	7224
989	7074	7217
990	7081	7209
991	7087	7202
992	7094	7194
993	7101	7187
994	7108	7180
995	7114	7172
996	7120	7163
997	7127	7156
998	7133	7147
999	7139	7139
1000	7146	7132
1001	7152	7123
1002	7159	7116
1003	7165	7108
1004	7171	7100
1005	7177	7091
1006	7183	7083
1007	7191	7076
1008	7197	7068
1009	7203	7060
1010	7211	7054
1011	7217	7046
1012	7224	7038
1013	7230	7030
1014	7236	7022
1015	7243	7015
1016	7249	7006
1017	7255	6999
1018	7261	6991
1019	7267	6982
1020	7273	6974
1021	7280	6966
1022	7285	6958
1023	7292	6950
1024	7298	6942
1025	7304	6934
1026	7311	6927
1027	7317	6919
1028	7324	6911
1029	7330	6903
1030	7337	6895
1031	7345	6889
1032	7351	6882
1033	7358	6874
1034	7363	6865
1035	7370	6857
1036	7376	6850
1037	7382	6841
1038	7388	6833
1039	7394	6826
1040	7400	6818
1041	7407	6809
1042	7412	6801
1043	7420	6794
1044	7426	6786
1045	7432	6778
1046	7438	6770
1047	7444	6762
1048	7450	6754
1049	7457	6747
1050	7463	6739
1051	7471	6732
1052	7479	6726
1053	7487	6719
1054	7494	6712
1055	7501	6705
1056	7507	6697
1057	7514	6690
1058	7520	6682
1059	7527	6674
1060	7533	6667
1061	7539	6659
1062	7545	6650
1063	7551	6643
1064	7557	6635
1065	7563	6627
1066	7569	6619
1067	7575	6611
1068	7582	6603
1069	7588	6595
1070	7594	6587
1071	7601	6580
1072	7607	6571
1073	7613	6564
1074	7620	6557
1075	7626	6549
1076	7633	6542
1077	7639	6534
1078	7645	6526
1079	7651	6517
1080	7657	6509
1081	7663	6501
1082	7669	6493
1083	7675	6486
1084	7682	6479
1085	7689	6471
1086	7696	6464
1087	7702	6456
1088	7708	6448
1089	7714	6440
1090	7720	6432
1091	7726	6424
1092	7732	6416
1093	7739	6409
1094	7746	6402
1095	7753	6394
1096	7759	6387
1097	7766	6379
1098	7772	6372
1099	7779	6365
1100	7786	6358
1101	7796	6353
1102	7803	6345
1103	7810	6338
1104	7815	6330
1105	7821	6322
1106	7828	6314
1107	7834	6306
1108	7840	6299
1109	7847	6291
1110	7853	6283
1111	7859	6275
1112	7865	6267
1113	7871	6260
1114	7878	6253
1115	7884	6245
1116	7892	6238
1117	7899	6231
1118	7905	6224
1119	7913	6217
1120	7922	6211
1121	7929	6205
1122	7936	6197
1123	7943	6190
1124	7949	6183
1125	7955	6175
1126	7962	6167
1127	7968	6160
1128	7975	6152
1129	7981	6144
1130	7986	6136
